start	end	size	type
0x0024a2	0x0024cf	45	divergent
0x0024cf	0x0024d0	1	identical
0x0024d0	0x00252e	94	divergent
0x00252e	0x00252f	1	identical
0x00252f	0x002532	3	divergent
0x002532	0x002536	4	identical
0x002536	0x002561	43	divergent
0x002561	0x002562	1	identical
0x002562	0x00257b	25	divergent
0x00257b	0x00257c	1	identical
0x00257c	0x0025ea	110	divergent
0x0025ea	0x0025eb	1	identical
0x0025eb	0x002610	37	divergent
0x002610	0x002611	1	identical
0x002611	0x002613	2	divergent
0x002613	0x002614	1	identical
0x002614	0x00262c	24	divergent
0x00262c	0x00262d	1	identical
0x00262d	0x002679	76	divergent
0x002679	0x00267a	1	identical
0x00267a	0x002684	10	divergent
0x002684	0x002686	2	identical
0x002686	0x002687	1	divergent
0x002687	0x002688	1	identical
0x002688	0x00269a	18	divergent
0x00269a	0x00269c	2	identical
0x00269c	0x00269d	1	divergent
0x00269d	0x00269e	1	identical
0x00269e	0x0026aa	12	divergent
0x0026aa	0x0026ae	4	identical
0x0026ae	0x0026af	1	divergent
0x0026af	0x0026b0	1	identical
0x0026b0	0x0026b9	9	divergent
0x0026b9	0x0026ba	1	identical
0x0026ba	0x0026bc	2	divergent
0x0026bc	0x0026bd	1	identical
0x0026bd	0x0026be	1	divergent
0x0026be	0x0026bf	1	identical
0x0026bf	0x0026c2	3	divergent
0x0026c2	0x0026c6	4	identical
0x0026c6	0x0026c7	1	divergent
0x0026c7	0x0026c8	1	identical
0x0026c8	0x0026c9	1	divergent
0x0026c9	0x0026cc	3	identical
0x0026cc	0x0026cd	1	divergent
0x0026cd	0x0026d2	5	identical
0x0026d2	0x0026d3	1	divergent
0x0026d3	0x0026d4	1	identical
0x0026d4	0x00270e	58	divergent
0x00270e	0x00270f	1	identical
0x00270f	0x002724	21	divergent
0x002724	0x002725	1	identical
0x002725	0x002727	2	divergent
0x002727	0x002728	1	identical
0x002728	0x002784	92	divergent
0x002784	0x002785	1	identical
0x002785	0x0027b1	44	divergent
0x0027b1	0x0027b2	1	identical
0x0027b2	0x0027f6	68	divergent
0x0027f6	0x0027f7	1	identical
0x0027f7	0x002807	16	divergent
0x002807	0x002808	1	identical
0x002808	0x002864	92	divergent
0x002864	0x002865	1	identical
0x002865	0x00287a	21	divergent
0x00287a	0x00287b	1	identical
0x00287b	0x0028e4	105	divergent
0x0028e4	0x0028e7	3	identical
0x0028e7	0x00291c	53	divergent
0x00291c	0x00291d	1	identical
0x00291d	0x00292b	14	divergent
0x00292b	0x00292c	1	identical
0x00292c	0x00294c	32	divergent
0x00294c	0x00294d	1	identical
0x00294d	0x0029d6	137	divergent
0x0029d6	0x0029d7	1	identical
0x0029d7	0x0029f8	33	divergent
0x0029f8	0x0029f9	1	identical
0x0029f9	0x002ab1	184	divergent
0x002ab1	0x002ab2	1	identical
0x002ab2	0x002ab3	1	divergent
0x002ab3	0x002ab4	1	identical
0x002ab4	0x002ae8	52	divergent
0x002ae8	0x002aea	2	identical
0x002aea	0x002aef	5	divergent
0x002aef	0x002af0	1	identical
0x002af0	0x002b17	39	divergent
0x002b17	0x002b19	2	identical
0x002b19	0x002b42	41	divergent
0x002b42	0x002b43	1	identical
0x002b43	0x002b46	3	divergent
0x002b46	0x002b47	1	identical
0x002b47	0x002b4c	5	divergent
0x002b4c	0x002b4d	1	identical
0x002b4d	0x002b93	70	divergent
0x002b93	0x002b94	1	identical
0x002b94	0x002baf	27	divergent
0x002baf	0x002bb0	1	identical
0x002bb0	0x002bb8	8	divergent
0x002bb8	0x002bb9	1	identical
0x002bb9	0x002bdd	36	divergent
0x002bdd	0x002bde	1	identical
0x002bde	0x002c18	58	divergent
0x002c18	0x002c19	1	identical
0x002c19	0x002c1d	4	divergent
0x002c1d	0x002c1e	1	identical
0x002c1e	0x002c76	88	divergent
0x002c76	0x002c77	1	identical
0x002c77	0x002ca2	43	divergent
0x002ca2	0x002ca3	1	identical
0x002ca3	0x002caf	12	divergent
0x002caf	0x002cb0	1	identical
0x002cb0	0x002cc1	17	divergent
0x002cc1	0x002cc2	1	identical
0x002cc2	0x002cce	12	divergent
0x002cce	0x002ccf	1	identical
0x002ccf	0x002d63	148	divergent
0x002d63	0x002d65	2	identical
0x002d65	0x002d67	2	divergent
0x002d67	0x002d68	1	identical
0x002d68	0x002d69	1	divergent
0x002d69	0x002d6a	1	identical
0x002d6a	0x002d87	29	divergent
0x002d87	0x002d88	1	identical
0x002d88	0x002dbe	54	divergent
0x002dbe	0x002dbf	1	identical
0x002dbf	0x002dc8	9	divergent
0x002dc8	0x002dc9	1	identical
0x002dc9	0x002dd6	13	divergent
0x002dd6	0x002dd8	2	identical
0x002dd8	0x002dda	2	divergent
0x002dda	0x002ddc	2	identical
0x002ddc	0x002df6	26	divergent
0x002df6	0x002df7	1	identical
0x002df7	0x002e33	60	divergent
0x002e33	0x002e34	1	identical
0x002e34	0x002e50	28	divergent
0x002e50	0x002e51	1	identical
0x002e51	0x002e53	2	divergent
0x002e53	0x002e54	1	identical
0x002e54	0x002e55	1	divergent
0x002e55	0x002e56	1	identical
0x002e56	0x002e5a	4	divergent
0x002e5a	0x002e5b	1	identical
0x002e5b	0x002e6b	16	divergent
0x002e6b	0x002e6c	1	identical
0x002e6c	0x002e6d	1	divergent
0x002e6d	0x002e6e	1	identical
0x002e6e	0x002e7a	12	divergent
0x002e7a	0x002e7c	2	identical
0x002e7c	0x002e7e	2	divergent
0x002e7e	0x002e7f	1	identical
0x002e7f	0x002e8c	13	divergent
0x002e8c	0x002e8e	2	identical
0x002e8e	0x002e90	2	divergent
0x002e90	0x002e91	1	identical
0x002e91	0x002e9f	14	divergent
0x002e9f	0x002ea0	1	identical
0x002ea0	0x002eb4	20	divergent
0x002eb4	0x002eb5	1	identical
0x002eb5	0x002ec3	14	divergent
0x002ec3	0x002ec5	2	identical
0x002ec5	0x002ed1	12	divergent
0x002ed1	0x002ed2	1	identical
0x002ed2	0x002ee2	16	divergent
0x002ee2	0x002ee4	2	identical
0x002ee4	0x002ee6	2	divergent
0x002ee6	0x002ee7	1	identical
0x002ee7	0x002ef8	17	divergent
0x002ef8	0x002ef9	1	identical
0x002ef9	0x002efe	5	divergent
0x002efe	0x002eff	1	identical
0x002eff	0x002f00	1	divergent
0x002f00	0x002f01	1	identical
0x002f01	0x002f1e	29	divergent
0x002f1e	0x002f1f	1	identical
0x002f1f	0x002f20	1	divergent
0x002f20	0x002f21	1	identical
0x002f21	0x002f4a	41	divergent
0x002f4a	0x002f4b	1	identical
0x002f4b	0x002f51	6	divergent
0x002f51	0x002f52	1	identical
0x002f52	0x002f76	36	divergent
0x002f76	0x002f77	1	identical
0x002f77	0x002f7a	3	divergent
0x002f7a	0x002f7b	1	identical
0x002f7b	0x002f86	11	divergent
0x002f86	0x002f87	1	identical
0x002f87	0x002f8e	7	divergent
0x002f8e	0x002f8f	1	identical
0x002f8f	0x002fa4	21	divergent
0x002fa4	0x002fa5	1	identical
0x002fa5	0x002fac	7	divergent
0x002fac	0x002fad	1	identical
0x002fad	0x002fc0	19	divergent
0x002fc0	0x002fc2	2	identical
0x002fc2	0x002fc4	2	divergent
0x002fc4	0x002fc5	1	identical
0x002fc5	0x002fe6	33	divergent
0x002fe6	0x002fe8	2	identical
0x002fe8	0x002fea	2	divergent
0x002fea	0x002feb	1	identical
0x002feb	0x002fec	1	divergent
0x002fec	0x002fee	2	identical
0x002fee	0x002fef	1	divergent
0x002fef	0x002ff0	1	identical
0x002ff0	0x002ff4	4	divergent
0x002ff4	0x002ff5	1	identical
0x002ff5	0x003018	35	divergent
0x003018	0x003019	1	identical
0x003019	0x003022	9	divergent
0x003022	0x003023	1	identical
0x003023	0x00302c	9	divergent
0x00302c	0x00302d	1	identical
0x00302d	0x00305e	49	divergent
0x00305e	0x00305f	1	identical
0x00305f	0x00306a	11	divergent
0x00306a	0x00306b	1	identical
0x00306b	0x003078	13	divergent
0x003078	0x003079	1	identical
0x003079	0x00309e	37	divergent
0x00309e	0x00309f	1	identical
0x00309f	0x0030ac	13	divergent
0x0030ac	0x0030ae	2	identical
0x0030ae	0x0030b0	2	divergent
0x0030b0	0x0030b2	2	identical
0x0030b2	0x0030c4	18	divergent
0x0030c4	0x0030c5	1	identical
0x0030c5	0x0030e6	33	divergent
0x0030e6	0x0030e7	1	identical
0x0030e7	0x0030ea	3	divergent
0x0030ea	0x0030eb	1	identical
0x0030eb	0x003131	70	divergent
0x003131	0x003134	3	identical
0x003134	0x003175	65	divergent
0x003175	0x003176	1	identical
0x003176	0x00317b	5	divergent
0x00317b	0x00317c	1	identical
0x00317c	0x0031cd	81	divergent
0x0031cd	0x0031ce	1	identical
0x0031ce	0x0031e7	25	divergent
0x0031e7	0x0031e8	1	identical
0x0031e8	0x003266	126	divergent
0x003266	0x00326a	4	identical
0x00326a	0x00326b	1	divergent
0x00326b	0x00326c	1	identical
0x00326c	0x00327e	18	divergent
0x00327e	0x00327f	1	identical
0x00327f	0x003288	9	divergent
0x003288	0x003289	1	identical
0x003289	0x00329a	17	divergent
0x00329a	0x00329b	1	identical
0x00329b	0x0032b6	27	divergent
0x0032b6	0x0032b8	2	identical
0x0032b8	0x0032b9	1	divergent
0x0032b9	0x0032ba	1	identical
0x0032ba	0x0032de	36	divergent
0x0032de	0x0032e0	2	identical
0x0032e0	0x00330e	46	divergent
0x00330e	0x00330f	1	identical
0x00330f	0x00331a	11	divergent
0x00331a	0x00331b	1	identical
0x00331b	0x003328	13	divergent
0x003328	0x003329	1	identical
0x003329	0x00335f	54	divergent
0x00335f	0x003360	1	identical
0x003360	0x003362	2	divergent
0x003362	0x003364	2	identical
0x003364	0x0033bd	89	divergent
0x0033bd	0x0033be	1	identical
0x0033be	0x0033c0	2	divergent
0x0033c0	0x0033c2	2	identical
0x0033c2	0x0033c3	1	divergent
0x0033c3	0x0033c4	1	identical
0x0033c4	0x0033ee	42	divergent
0x0033ee	0x0033ef	1	identical
0x0033ef	0x00341d	46	divergent
0x00341d	0x00341e	1	identical
0x00341e	0x003425	7	divergent
0x003425	0x003426	1	identical
0x003426	0x003466	64	divergent
0x003466	0x003467	1	identical
0x003467	0x00346a	3	divergent
0x00346a	0x00346c	2	identical
0x00346c	0x00346f	3	divergent
0x00346f	0x003470	1	identical
0x003470	0x003472	2	divergent
0x003472	0x003474	2	identical
0x003474	0x00348c	24	divergent
0x00348c	0x00348d	1	identical
0x00348d	0x0034b8	43	divergent
0x0034b8	0x0034ba	2	identical
0x0034ba	0x0034cb	17	divergent
0x0034cb	0x0034cc	1	identical
0x0034cc	0x0034cf	3	divergent
0x0034cf	0x0034d0	1	identical
0x0034d0	0x0034e3	19	divergent
0x0034e3	0x0034e4	1	identical
0x0034e4	0x0034f9	21	divergent
0x0034f9	0x0034fa	1	identical
0x0034fa	0x003521	39	divergent
0x003521	0x003522	1	identical
0x003522	0x003545	35	divergent
0x003545	0x003546	1	identical
0x003546	0x00357c	54	divergent
0x00357c	0x00357e	2	identical
0x00357e	0x003581	3	divergent
0x003581	0x003582	1	identical
0x003582	0x003583	1	divergent
0x003583	0x003586	3	identical
0x003586	0x003587	1	divergent
0x003587	0x003588	1	identical
0x003588	0x0035b3	43	divergent
0x0035b3	0x0035b4	1	identical
0x0035b4	0x0035c5	17	divergent
0x0035c5	0x0035c6	1	identical
0x0035c6	0x0035f7	49	divergent
0x0035f7	0x0035f8	1	identical
0x0035f8	0x00365e	102	divergent
0x00365e	0x00365f	1	identical
0x00365f	0x00366e	15	divergent
0x00366e	0x00366f	1	identical
0x00366f	0x003675	6	divergent
0x003675	0x003676	1	identical
0x003676	0x0036c1	75	divergent
0x0036c1	0x0036c2	1	identical
0x0036c2	0x0036cf	13	divergent
0x0036cf	0x0036d0	1	identical
0x0036d0	0x003709	57	divergent
0x003709	0x00370a	1	identical
0x00370a	0x003717	13	divergent
0x003717	0x003718	1	identical
0x003718	0x003778	96	divergent
0x003778	0x00377a	2	identical
0x00377a	0x003787	13	divergent
0x003787	0x003788	1	identical
0x003788	0x00378e	6	divergent
0x00378e	0x00378f	1	identical
