A: /home/workspace/git/openwatch/firmwares/H59MA_1.00.13_251230.bin  size=145552  sha256=7347dc5fe7c552d4f0fb93cffa2dd9cab6945b5628900705a07eb7a357781b65
  0x002BB8..0x002BB9  identical  size=1
  0x002BB9..0x002BDD  divergent  size=36
  0x002BDD..0x002BDE  identical  size=1
  0x002BDE..0x002C18  divergent  size=58
  0x002C18..0x002C19  identical  size=1
  0x002C19..0x002C1D  divergent  size=4
  0x002C1D..0x002C1E  identical  size=1
  0x002C1E..0x002C76  divergent  size=88
  0x002C76..0x002C77  identical  size=1
  0x002C77..0x002CA2  divergent  size=43
  0x002CA2..0x002CA3  identical  size=1
  0x002CA3..0x002CAF  divergent  size=12
  0x002CAF..0x002CB0  identical  size=1
  0x002CB0..0x002CC1  divergent  size=17
  0x002CC1..0x002CC2  identical  size=1
  0x002CC2..0x002CCE  divergent  size=12
  0x002CCE..0x002CCF  identical  size=1
  0x002CCF..0x002D63  divergent  size=148
  0x002D63..0x002D65  identical  size=2
  0x002D65..0x002D67  divergent  size=2
  0x002D67..0x002D68  identical  size=1
  0x002D68..0x002D69  divergent  size=1
  0x002D69..0x002D6A  identical  size=1
  0x002D6A..0x002D87  divergent  size=29
  0x002D87..0x002D88  identical  size=1
  0x002D88..0x002DBE  divergent  size=54
  0x002DBE..0x002DBF  identical  size=1
  0x002DBF..0x002DC8  divergent  size=9
  0x002DC8..0x002DC9  identical  size=1
  0x002DC9..0x002DD6  divergent  size=13
  0x002DD6..0x002DD8  identical  size=2
  0x002DD8..0x002DDA  divergent  size=2
  0x002DDA..0x002DDC  identical  size=2
  0x002DDC..0x002DF6  divergent  size=26
  0x002DF6..0x002DF7  identical  size=1
  0x002DF7..0x002E33  divergent  size=60
  0x002E33..0x002E34  identical  size=1
  0x002E34..0x002E50  divergent  size=28
  0x002E50..0x002E51  identical  size=1
  0x002E51..0x002E53  divergent  size=2
  0x002E53..0x002E54  identical  size=1
  0x002E54..0x002E55  divergent  size=1
  0x002E55..0x002E56  identical  size=1
  0x002E56..0x002E5A  divergent  size=4
  0x002E5A..0x002E5B  identical  size=1
  0x002E5B..0x002E6B  divergent  size=16
  0x002E6B..0x002E6C  identical  size=1
  0x002E6C..0x002E6D  divergent  size=1
  0x002E6D..0x002E6E  identical  size=1
  0x002E6E..0x002E7A  divergent  size=12
  0x002E7A..0x002E7C  identical  size=2
  0x002E7C..0x002E7E  divergent  size=2
  0x002E7E..0x002E7F  identical  size=1
  0x002E7F..0x002E8C  divergent  size=13
  0x002E8C..0x002E8E  identical  size=2
  0x002E8E..0x002E90  divergent  size=2
  0x002E90..0x002E91  identical  size=1
  0x002E91..0x002E9F  divergent  size=14
  0x002E9F..0x002EA0  identical  size=1
  0x002EA0..0x002EB4  divergent  size=20
  0x002EB4..0x002EB5  identical  size=1
  0x002EB5..0x002EC3  divergent  size=14
  0x002EC3..0x002EC5  identical  size=2
  0x002EC5..0x002ED1  divergent  size=12
  0x002ED1..0x002ED2  identical  size=1
  0x002ED2..0x002EE2  divergent  size=16
  0x002EE2..0x002EE4  identical  size=2
  0x002EE4..0x002EE6  divergent  size=2
  0x002EE6..0x002EE7  identical  size=1
  0x002EE7..0x002EF8  divergent  size=17
  0x002EF8..0x002EF9  identical  size=1
  0x002EF9..0x002EFE  divergent  size=5
  0x002EFE..0x002EFF  identical  size=1
  0x002EFF..0x002F00  divergent  size=1
  0x002F00..0x002F01  identical  size=1
  0x002F01..0x002F1E  divergent  size=29
  0x002F1E..0x002F1F  identical  size=1
  0x002F1F..0x002F20  divergent  size=1
  0x002F20..0x002F21  identical  size=1
  0x002F21..0x002F4A  divergent  size=41
  0x002F4A..0x002F4B  identical  size=1
  0x002F4B..0x002F51  divergent  size=6
  0x002F51..0x002F52  identical  size=1
  0x002F52..0x002F76  divergent  size=36
  0x002F76..0x002F77  identical  size=1
  0x002F77..0x002F7A  divergent  size=3
  0x002F7A..0x002F7B  identical  size=1
  0x002F7B..0x002F86  divergent  size=11
  0x002F86..0x002F87  identical  size=1
  0x002F87..0x002F8E  divergent  size=7
  0x002F8E..0x002F8F  identical  size=1
  0x002F8F..0x002FA4  divergent  size=21
  0x002FA4..0x002FA5  identical  size=1
  0x002FA5..0x002FAC  divergent  size=7
  0x002FAC..0x002FAD  identical  size=1
  0x002FAD..0x002FC0  divergent  size=19
  0x002FC0..0x002FC2  identical  size=2
